PlayerName,Date,MatchType(OneDay-T20-Test),Opposition Team,Toss Win,Bowling First,Batting First,home team,Last Matches Performance,Last 3Matches Performance,Last 6Matches Performance,weather,pitch,Form (InOrOut),Order(BattingBowlingOrder),Performance(IT is label. For Batsman:Runs.,,,,,,
KANE WILLIAMSON,"11 Feb, 2012",T20I,Zimbabwe,Loss,Yes,No,New Zealand,AVERAGE,GOOD,GOOD,Sunny,Dusty,In,4,48,,,,,,
KANE WILLIAMSON,"14 Feb, 2012",T20I,Zimbabwe,Loss,Yes,No,New Zealand,BAD,AVERAGE,AVERAGE,Clear,Hard,In,7,20,,,,,,
KANE WILLIAMSON,"17 Feb, 2012",T20I,South Africa,Win,Yes,No,New Zealand,BAD,GOOD,AVERAGE,Sunny,Normal,In,4,24,,,,,,
KANE WILLIAMSON,"19 Feb, 2012",T20I,South Africa,Loss,No,Yes,New Zealand,BAD,BAD,AVERAGE,Clear,Normal,In,4,28,,,,,,
KANE WILLIAMSON,"22 Feb, 2012",T20I,South Africa,Win,Yes,No,New Zealand,BAD,BAD,AVERAGE,Foggy,Dusty,Out,5,6,,,,,,
KANE WILLIAMSON,"30 Jun, 2012",T20I,West Indies,Win,Yes,No,n/a,BAD,BAD,BAD,Sunny,Normal,Out,4,10,,,,,,
KANE WILLIAMSON,"1 July,  2012",T20I,West Indies,Loss,Yes,No,n/a,BAD,BAD,BAD,Rainy,Green,Out,4,6,,,,,,
KANE WILLIAMSON,"11 Sep, 2012",T20I,India,Loss,No,Yes,India,BAD,BAD,BAD,Clear,Hard,In,4,28,,,,,,
KANE WILLIAMSON,"23 Sep, 2012",T20I,Pakistan,Loss,Yes,No,n/a,BAD,BAD,BAD,Clear,Normal,Out,2,15,,,,,,
KANE WILLIAMSON,"27 Sep, 2012",T20I,Sri Lanka,Win,No,Yes,Sir Lanka,BAD,BAD,BAD,Rainy,Dusty,Out,8,4,,,,,,
KANE WILLIAMSON,"29 Sep, 2012",T20I,England,Win,No,Yes,n/a,BAD,BAD,BAD,Clear,Hard,Out,4,17,,,,,,
